symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore,shap_ret_1d,shap_ret_3d,shap_ret_5d,shap_vol_20d,shap_vol_zscore,prediction,base_value
LNG,2025-11-10 00:00:00-05:00,0.017556562108851148,0.03154160852337551,0.011955094292467772,0.011353919136058124,-0.5948478769736889,-0.0002009441600634946,1.7832985214014786e-05,-5.936605073312355e-07,-3.985395498772478e-06,-9.910898137293711e-05,0.0005625376710410592,0.00084933688326958
BATS.L,2025-11-10 19:00:00-05:00,0.01921221880978674,0.02043758303080012,0.04790118865800941,0.011708541779635906,0.9160859562255679,-6.225637352948701e-05,3.257544577791765e-05,-0.0003141778492105832,-4.6193807388067674e-05,-0.00015774686812895615,0.0003015374307904036,0.00084933688326958
BLK,2025-11-11 00:00:00-05:00,0.0028911351702283206,0.015260457319363763,0.024388809966756186,0.011565936730164083,-1.450043287193059,3.381783579983205e-05,1.0817113952000202e-06,2.828821036756197e-05,-2.9822594001695873e-05,-2.2363317861851514e-05,0.0008603387289686266,0.00084933688326958
HSBC,2025-11-11 00:00:00-05:00,0.006801747050837692,0.014263691967499215,0.045628213263169126,0.011449446002078869,0.37721256093028976,6.497615384213706e-05,-4.068262780841821e-06,-2.9531581414016194e-05,-4.4152502588777006e-05,4.96019209734471e-05,0.0008861626113015299,0.00084933688326958
BP,2025-11-11 00:00:00-05:00,0.006196056833098984,0.042713508155727054,0.06349658910129041,0.013410060675894297,-0.3316520134587303,6.465171997156562e-05,1.7002091498151538e-05,-7.58150964641109e-05,-1.5068780000889597e-05,4.605579302723294e-05,0.0008861626113015299,0.00084933688326958
JPM,2025-11-11 00:00:00-05:00,-0.004007749470046229,0.007019248478266293,0.020598136399682776,0.010885432819396258,-1.4750514441589033,3.381783579983205e-05,1.0817113952000202e-06,2.828821036756197e-05,-2.9822594001695873e-05,-2.2363317861851514e-05,0.0008603387289686266,0.00084933688326958
SHEL,2025-11-11 00:00:00-05:00,0.0058778300267205985,0.03759093887375986,0.04434507445924929,0.010424362789825802,-0.17739653200527802,6.372185148668563e-05,1.6072223013271557e-05,-7.674496494899088e-05,-1.1349306061369688e-05,4.512592454235296e-05,0.0008861626113015299,0.00084933688326958
MSFT,2025-11-11 00:00:00-05:00,0.005296431648967648,0.023295076317724206,-0.010985263298561976,0.012183556639163139,-0.5846217231739534,3.829486940280251e-05,2.5147039317426788e-05,9.939028829848765e-06,-3.299694767867664e-05,-2.9382144172354845e-05,0.0008603387289686266,0.00084933688326958
NVDA,2025-11-11 00:00:00-05:00,-0.029590588624919145,0.02700975430668162,-0.027832308791983396,0.026238372841890182,-0.20440185283454532,2.4276976173101658e-05,1.726405141542583e-05,5.531250062921562e-05,0.00013973454523703274,-0.0002714047235540676,0.0008145202331702881,0.00084933688326958
LNG,2025-11-11 00:00:00-05:00,0.002127142244153557,0.021809901698754297,0.028135958782895765,0.011418980288837106,-0.7830850443809493,3.2478463678660385e-05,1.6072223013271517e-05,-4.535910545905221e-05,-3.1711710459380015e-05,3.952197492554693e-05,0.0008603387289686266,0.00084933688326958
AZN,2025-11-11 00:00:00-05:00,0.01840412573360317,0.06350722105782203,0.08606604490619096,0.013687865537460837,0.4237413220139502,-0.0001201119344933122,3.257544577791765e-05,-0.00018074554063766528,-2.812374633808035e-06,4.6864073656752874e-05,0.0006251065529394648,0.00084933688326958
AAPL,2025-11-11 00:00:00-05:00,0.021601185771556786,0.021302731138539643,0.020281555606661117,0.012634982449180826,-0.24779976759962113,-0.00019925701152254588,1.9582783061866827e-05,-1.1693546047380616e-05,8.120563096073442e-06,-0.00010355200081653445,0.0005625376710410592,0.00084933688326958
BATS.L,2025-11-11 19:00:00-05:00,-0.0007068660129316839,0.02687644073839124,0.023901484706848608,0.011344264336995365,-0.44206785313381863,3.648242224804712e-05,2.339724146957475e-05,-5.608055910443594e-07,-1.0992253115874705e-05,-3.732475931165625e-05,0.0008603387289686266,0.00084933688326958
LNG,2025-11-12 00:00:00-05:00,0.00731133514980109,0.027176572011284428,0.04129383346918192,0.011644135036318176,0.6603273112208308,3.934199815653379e-05,4.2695815182707114e-05,0.00038312929053951086,-2.381528830889122e-05,0.00013083400447966645,0.001421522703319107,0.00084933688326958
SHEL,2025-11-12 00:00:00-05:00,-0.0077912440266996175,0.010848057098769903,0.024125394573004444,0.01073524485442589,-0.5191075221332567,2.7041813738545243e-05,5.4687516157214395e-06,5.747341314984088e-06,-1.2347518324338208e-05,-1.490854264586585e-05,0.0008603387289686266,0.00084933688326958
BLK,2025-11-12 00:00:00-05:00,0.0075247456295919335,0.010839179505803376,0.018964852375176866,0.011595723179004492,-0.8830751106362827,3.5535432406004555e-05,1.0817113952000202e-06,7.975311310122587e-06,-2.9389659964965787e-05,-4.200949447314764e-06,0.0008603387289686266,0.00084933688326958
AZN,2025-11-12 00:00:00-05:00,-0.015826648228462914,0.03665167187289997,0.0804682520827118,0.014234547717284489,0.5713896946113974,4.891146917806421e-05,6.6937359466544e-05,-0.00011427687542610509,-2.0873416681003342e-05,5.612719149444984e-05,0.0008861626113015299,0.00084933688326958
MSFT,2025-11-12 00:00:00-05:00,0.004836125024470617,0.028823367776688258,0.007847682117209098,0.012239955141104378,0.4545742277386022,5.7463416434663156e-05,0.0001285998221623354,3.780993123783705e-05,-4.673327742101508e-05,5.901960865474749e-05,0.0010854963843381466,0.00084933688326958
BP,2025-11-12 00:00:00-05:00,-0.013119040382885916,0.007654394711155366,0.03307176540574108,0.014079490054538542,0.5704492463859792,-1.342917702200744e-05,2.0173281502995283e-05,-0.0002525427180783732,-9.365343691698091e-05,-0.00024520319001783636,0.00026468164273737613,0.00084933688326958
HSBC,2025-11-12 00:00:00-05:00,0.013235889985244054,0.03114916971052084,0.04348341830350977,0.011304343355585823,-0.024199559084785036,-6.20162567775938e-05,1.6072223013271557e-05,-0.00017727465887040937,-1.6864434040057845e-05,1.585279634467435e-05,0.0006251065529394648,0.00084933688326958
AAPL,2025-11-12 00:00:00-05:00,-0.006466843884820661,0.019611535487878973,0.013308267488373993,0.012906277364396437,-0.15650414244633254,2.6647174307022928e-05,3.2954991234374986e-05,-1.8463644031964684e-06,-1.8986945892298773e-05,-2.7767009546856016e-05,0.0008603387289686266,0.00084933688326958
JPM,2025-11-12 00:00:00-05:00,0.015176488573877878,0.019731996695740106,0.028009490848475815,0.011059237074105683,2.05699838100637,-1.0421240929185129e-06,4.2695815182707426e-05,-0.00032065083070480785,-7.60917715342152e-05,-0.00022956632938296896,0.00026468164273737613,0.00084933688326958
NVDA,2025-11-12 00:00:00-05:00,0.003313338698486268,0.03002924919496608,-0.007223020298265159,0.026212980522358077,-0.5516837418614597,3.5445695959740064e-05,1.5033507225907163e-05,0.00010985815274375755,0.00038121564137123495,-6.675483549592313e-06,0.0013842143970206275,0.00084933688326958
BATS.L,2025-11-12 19:00:00-05:00,-0.022164519312370623,-0.004082608225005391,-0.002885250583050336,0.012923783019740601,-1.0152255717195493,1.8352510228920613e-05,4.770650023370681e-06,2.5925350606834187e-05,-4.5482053415617486e-05,7.4353882555386124e-06,0.0008603387289686266,0.00084933688326958
