symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore
AAPL,2025-01-02 00:00:00-05:00,,,,,
AAPL,2025-01-03 00:00:00-05:00,-0.0020094283726911355,,,,
AAPL,2025-01-06 00:00:00-05:00,0.00673891609730104,,,,
AAPL,2025-01-07 00:00:00-05:00,-0.01138768025181125,-0.006725437585588412,,,
AAPL,2025-01-08 00:00:00-05:00,0.00202290759648438,-0.0027121564392947883,,,
AAPL,2025-01-10 00:00:00-05:00,-0.0241037419982969,-0.03326526955533349,-0.028706200426651618,,
AAPL,2025-01-13 00:00:00-05:00,-0.010344081129591287,-0.032244764858033514,-0.0368178968439572,,
AAPL,2025-01-14 00:00:00-05:00,-0.004778232431310148,-0.03881331615255379,-0.047836753038720814,,
AAPL,2025-01-15 00:00:00-05:00,0.019675869041915206,0.004306409751548612,-0.017918483392647566,,
AAPL,2025-01-16 00:00:00-05:00,-0.04040013508725093,-0.026194582629692098,-0.059497259468612174,,2.05655014271727
AAPL,2025-01-17 00:00:00-05:00,0.007535239806619742,-0.0141460861410867,-0.0290057509182281,0.017142086769427894,1.4790228055689014
AAPL,2025-01-21 00:00:00-05:00,-0.03191585718285572,-0.0640265498900402,-0.05017075391655046,0.0180809628314422,2.4100309934266253
AAPL,2025-01-22 00:00:00-05:00,0.005344971924732489,-0.01940773823613451,-0.040509273556310066,0.01767025200800148,0.5257276170384511
AAPL,2025-01-23 00:00:00-05:00,-0.0007593709102665658,-0.02748053883106283,-0.059738348031901034,0.017005398159042215,0.2947276028792585
AAPL,2025-01-24 00:00:00-05:00,-0.003934678875542774,0.00062883642542233,-0.02400775723976012,0.016352534356312034,-0.02848187748388088
AAPL,2025-01-27 00:00:00-05:00,0.03178024729513629,0.026940102282584366,-0.0005217903975504035,0.018574727421182255,1.985302192698838
AAPL,2025-01-28 00:00:00-05:00,0.036543996244401855,0.06527753829756855,0.07015815229214795,0.020581308379820785,0.9103499235805874
AAPL,2025-01-29 00:00:00-05:00,0.004616868018021414,0.07442329473563847,0.0693831085477199,0.0199784932397504,-0.679504703985284
AAPL,2025-01-30 00:00:00-05:00,-0.0073948182865472,0.03362914002672657,0.062281880740043594,0.019442265566637706,-0.12284201442802609
AAPL,2025-01-31 00:00:00-05:00,-0.006692131500526055,-0.00948540378520657,0.05934111782179241,0.0189354647585896,2.059314481594526
AAPL,2025-02-03 00:00:00-05:00,-0.03385592906605628,-0.047418140415610543,-0.008048329319004566,0.019795515538045597,0.6073986613660471
AAPL,2025-02-04 00:00:00-05:00,0.021007846077986336,-0.02016071386176732,-0.022916111264936645,0.020522038162902573,-0.809192876345512
AAPL,2025-02-05 00:00:00-05:00,-0.0014174923520661187,-0.014957595249940447,-0.028785091255354334,0.0204197102185254,-1.0559586263089011
AAPL,2025-02-06 00:00:00-05:00,0.003226176535746861,0.022849857669462903,-0.01839297492637726,0.02034335615972002,-1.459676404445578
AAPL,2025-02-07 00:00:00-05:00,-0.02396879758719528,-0.022207928857935877,-0.035466127509115264,0.020915697069270024,-1.0000616159148614
AAPL,2025-02-10 00:00:00-05:00,0.0011874113389094276,-0.019657259127976334,-0.00048119115987699246,0.020328390772410304,-1.1988554192875125
AAPL,2025-02-11 00:00:00-05:00,0.021831831975231752,-0.0014759958437090548,0.0003254523989160152,0.020876372049635813,-0.2539518931841784
AAPL,2025-02-12 00:00:00-05:00,0.018270085918334233,0.04173628977253929,0.020047393739911934,0.02123861190444986,-0.6693270403301754
AAPL,2025-02-13 00:00:00-05:00,0.01967330312120863,0.06097087472669438,0.036770291328113824,0.0212384933755598,-0.31453802401890074
AAPL,2025-02-14 00:00:00-05:00,0.01271058045886364,0.051500253537279495,0.07573225214303347,0.01898603716625123,-0.8421851833778198
AAPL,2025-02-18 00:00:00-05:00,-0.0005314395307257636,0.03208516018437546,0.07388542177326496,0.01898572201929943,-0.41918782758874396
AAPL,2025-02-19 00:00:00-05:00,0.0016361258388950528,0.013828427417412303,0.05266091718887966,0.017100246723348658,-1.1383974705060478
AAPL,2025-02-20 00:00:00-05:00,0.00392050052050541,0.005028644841089891,0.03782669203088962,0.017101541751022426,-1.0268759494995516
AAPL,2025-02-21 00:00:00-05:00,-0.0011390267898004902,0.004417677549308552,0.016643837248988325,0.01710835491590951,0.0405276669143931
AAPL,2025-02-24 00:00:00-05:00,0.006312383382871323,0.009106921098715581,0.010220790277498448,0.01698367006869026,-0.04539315951418881
AAPL,2025-02-25 00:00:00-05:00,-0.0002428315584860341,0.004922080552512753,0.010512503079009194,0.015835008202045447,-0.10943605336020512
AAPL,2025-02-26 00:00:00-05:00,-0.027040181371491778,-0.02113624272674508,-0.018417930070015798,0.015285116145996668,-0.2429448565605081
AAPL,2025-02-27 00:00:00-05:00,-0.012730856497520038,-0.03966005068915146,-0.034698774499850926,0.015535666430259549,-0.43258521144753576
AAPL,2025-02-28 00:00:00-05:00,0.019131868844441513,-0.02104923259232816,-0.015108940756690337,0.016019455642854525,0.5387656468551565
AAPL,2025-03-03 00:00:00-05:00,-0.015754265817481183,-0.009693824608398627,-0.03670585823854233,0.016374619548286368,0.1671598369490415
AAPL,2025-03-04 00:00:00-05:00,-0.008822379909602107,-0.005773324786377154,-0.044972494304250876,0.014444271149386357,1.1314151588623123
AAPL,2025-03-05 00:00:00-05:00,-0.000805297297409524,-0.02522327332823726,-0.01922113703360262,0.01372839598020557,0.3170753392984984
AAPL,2025-03-06 00:00:00-05:00,-0.0017391917687868963,-0.011343032316478707,-0.008301731210272889,0.01373128496324487,0.03379314198668459
