symbol,timestamp,open,high,low,close,volume,ingest_date
SHEL,2025-01-02 00:00:00-05:00,60.465282595944544,60.801309707034584,60.292469490213875,60.58049011230469,3859596,2026-01-26
SHEL,2025-01-03 00:00:00-05:00,61.87658955551943,62.126210133159034,61.66057498774545,61.94379425048828,5296222,2026-01-26
SHEL,2025-01-06 00:00:00-05:00,62.231816509163224,62.72145488482817,62.03020243089229,62.16461181640625,3840987,2026-01-26
SHEL,2025-01-07 00:00:00-05:00,63.35510254398009,63.62872637824093,63.043082303808674,63.29750061035156,5067591,2026-01-26
SHEL,2025-01-08 00:00:00-05:00,61.338953743158044,62.18381383608608,61.262149944883355,62.13581466674805,5750864,2026-01-26
SHEL,2025-01-10 00:00:00-05:00,63.335899000932855,63.489506585911904,62.00140060279574,62.34702682495117,4352054,2026-01-26
SHEL,2025-01-13 00:00:00-05:00,62.21261480312661,62.784620096984945,62.18380651520026,62.3662223815918,3703069,2026-01-26
SHEL,2025-01-14 00:00:00-05:00,62.59664041449928,63.427107290979976,62.50063475775783,63.278297424316406,4228835,2026-01-26
SHEL,2025-01-15 00:00:00-05:00,63.47991210511247,63.825538332481095,63.29269850901798,63.7103271484375,3459781,2026-01-26
SHEL,2025-01-16 00:00:00-05:00,63.54711679655815,64.07515157603156,63.48470982294063,63.796730041503906,3622189,2026-01-26
SHEL,2025-01-17 00:00:00-05:00,64.1327690747878,64.59359922066812,63.854347504468684,64.05596160888672,3486314,2026-01-26
SHEL,2025-01-21 00:00:00-05:00,64.2767712586304,64.3727842494168,63.911946797835625,64.10395812988281,4715386,2026-01-26
SHEL,2025-01-22 00:00:00-05:00,64.17116286183912,64.17116286183912,63.307104542416084,63.31669998168945,4912864,2026-01-26
SHEL,2025-01-23 00:00:00-05:00,64.03674845439636,64.23356481554443,63.72952595213983,63.99835205078125,3588463,2026-01-26
SHEL,2025-01-24 00:00:00-05:00,63.72953275173874,63.801542496915154,62.71185947782662,62.7790641784668,4915895,2026-01-26
SHEL,2025-01-27 00:00:00-05:00,62.69265452517921,62.769454657098386,62.087804959765954,62.539039611816406,4245483,2026-01-26
SHEL,2025-01-28 00:00:00-05:00,62.54864413450804,62.69265628864599,61.646174805021786,62.00140380859375,3776182,2026-01-26
SHEL,2025-01-29 00:00:00-05:00,61.86699587483804,62.37102743904611,61.81898938074079,62.193416595458984,4246173,2026-01-26
SHEL,2025-01-30 00:00:00-05:00,63.39350364417191,64.27676743871785,63.316696186012514,63.98875045776367,6257910,2026-01-26
SHEL,2025-01-31 00:00:00-05:00,64.39197591720125,64.43517736381268,63.06708028111627,63.22068786621094,5424691,2026-01-26
SHEL,2025-02-03 00:00:00-05:00,62.69265834677534,63.14388570156932,62.33742933154161,62.56784439086914,4841684,2026-01-26
SHEL,2025-02-04 00:00:00-05:00,62.57744683426853,64.01275604650083,62.57744683426853,63.969547271728516,3579851,2026-01-26
SHEL,2025-02-05 00:00:00-05:00,63.777537120043036,64.07515688083649,63.55671749687311,63.87354278564453,3264989,2026-01-26
SHEL,2025-02-06 00:00:00-05:00,64.19036127435157,64.22876500147639,63.18708862428746,63.518314361572266,4125398,2026-01-26
SHEL,2025-02-07 00:00:00-05:00,63.65273080610815,63.78714020357612,63.182290590207444,63.259098052978516,4075314,2026-01-26
