symbol,timestamp,ret_1d,ret_3d,ret_5d,vol_20d,vol_zscore,next_1d_log_return
NVDA,2025-10-23 23:00:00-05:00,0.022507632123081045,0.02815182582044362,0.0165919620136461,0.02062415820439116,-0.8724643061233951,0.027692106494185256
NVDA,2025-10-26 23:00:00-05:00,0.028079096808919735,0.06218108217825158,0.048455951705885125,0.021037497892196166,-0.2869503441101378,0.04861859050894962
NVDA,2025-10-27 23:00:00-05:00,0.04981986311030817,0.10359029578785894,0.10968206194810093,0.023002069994484967,2.705342023419037,0.029457827948534257
NVDA,2025-10-28 23:00:00-05:00,0.029896001728863864,0.11156454726772913,0.1484357938922849,0.023718774259202175,2.3331145417780332,-0.020248031680764292
NVDA,2025-10-29 23:00:00-05:00,-0.02004441686938918,0.05953315020810779,0.11380108504609843,0.02436326982316808,0.03239037401733304,-0.0019734620898285613
NVDA,2025-10-30 23:00:00-05:00,-0.0019715160938454934,0.007262579713068762,0.08713634339678134,0.024277597971964996,0.011868027271924037,0.021448410478101188
NVDA,2025-11-03 00:00:00-05:00,0.02168008099085683,-0.0007727845405947065,0.08036974082760184,0.024304277910530196,-1.1670577422510658e-05,-0.04039309665395424
NVDA,2025-11-04 00:00:00-05:00,-0.03958816973810397,-0.02070088137968351,-0.01164007597103045,0.02629661061977051,0.11309796773727399,-0.01766987328930445
NVDA,2025-11-05 00:00:00-05:00,-0.017514676525078876,-0.035952353212738264,-0.057138664448476706,0.026349348132890266,-0.250394574098519,-0.03720852305928514
NVDA,2025-11-06 00:00:00-05:00,-0.03652479239708739,-0.09087392040897724,-0.07299520850815278,0.027387129548475556,0.6682276437101786,0.00037209133726219876
NVDA,2025-11-07 00:00:00-05:00,0.0003721605718307597,-0.05304746170747754,-0.0708183172331801,0.024945188481961218,1.4521620010034517,0.05631656037854874
NVDA,2025-11-10 00:00:00-05:00,0.05793253025650147,0.019671104424591412,-0.03784800447108583,0.027379921961169257,0.18798249929861807,-0.030037222950149853
NVDA,2025-11-11 00:00:00-05:00,-0.029590588624919145,0.02700975430668162,-0.027832308791983396,0.026238372841890182,-0.20440185283454532,0.0033078616866165345
NVDA,2025-11-12 00:00:00-05:00,0.003313338698486268,0.03002924919496608,-0.007223020298265159,0.026212980522358077,-0.5516837418614597,-0.03646706452173125
NVDA,2025-11-13 00:00:00-05:00,-0.03581015057278791,-0.06124094090752119,-0.006486644368404182,0.027613969252990072,0.4028964356643783,0.0175587291880812
NVDA,2025-11-14 00:00:00-05:00,0.01771378990026884,-0.015479416591372974,0.010736086356496477,0.027817354630282252,0.0022098675870726946,-0.018951080520199844
NVDA,2025-11-17 00:00:00-05:00,-0.01877263779914551,-0.03715170741808971,-0.06254711379718891,0.028193013630019463,-0.2906824052795547,-0.028483321948272338
NVDA,2025-11-18 00:00:00-05:00,-0.028081496281955776,-0.02943380664128281,-0.06108927244087625,0.02889444479291869,0.4088265350835269,0.02805447178564917
NVDA,2025-11-19 00:00:00-05:00,0.02845170449645229,-0.019193347095922575,-0.0375645365377002,0.029525531539379122,0.9813972211965631,-0.03203235291540865
NVDA,2025-11-20 00:00:00-05:00,-0.0315247514254573,-0.03193999314870055,-0.033286934863162476,0.03038168311184921,2.389517538785983,-0.009790915648216417
NVDA,2025-11-21 00:00:00-05:00,-0.009743140680959717,-0.01367444044975552,-0.05936791537540431,0.029978345328268145,2.0820940488653337,0.020308940766502713
NVDA,2025-11-24 00:00:00-05:00,0.020516570501995846,-0.021284545467784022,-0.02170417776350142,0.02963002268841971,0.5317560300741003,-0.02625230295007782
NVDA,2025-11-25 00:00:00-05:00,-0.02591070699981468,-0.015611140752594843,-0.01951914467939997,0.027419265079690114,1.5455793223972236,0.01362837076139389
NVDA,2025-11-26 00:00:00-05:00,0.013721660319353957,0.007714614047074075,-0.03356212428702565,0.026536577154155055,-0.6151126479722104,-0.018250481451215203
NVDA,2025-11-28 00:00:00-05:00,-0.01808494995412202,-0.030402666369972353,-0.020150596007827204,0.026487778654751812,-1.5431135341304612,0.01636262063691597
NVDA,2025-12-01 00:00:00-05:00,0.01649722145253496,0.011809700245336785,0.005813983742445128,0.02697042942691073,-0.4741479201993032,0.008522950888142249
NVDA,2025-12-02 00:00:00-05:00,0.008559374639807826,0.006657151049182852,-0.005970944745898765,0.026427394315579094,-0.5657642330980263,-0.010358810989460964
NVDA,2025-12-03 00:00:00-05:00,-0.010305343286772684,0.014632786704906087,0.009953863236328742,0.025266104066408064,-0.8194000943941943,0.020939727959519348
NVDA,2025-12-04 00:00:00-05:00,0.02116050235556166,0.01928751433029463,0.017365056610756602,0.02571293040021083,-0.7786173835100881,-0.005303608473423211
NVDA,2025-12-05 00:00:00-05:00,-0.0052895691726206895,0.005291258016965061,0.030622388080032037,0.024475915170230688,-1.0551695352126884,0.017067483178621695
NVDA,2025-12-08 00:00:00-05:00,0.01721396484079296,0.03324424301053064,0.03134909127887764,0.02482171261271172,-0.0753965950993087,-0.0031307475877748172
NVDA,2025-12-09 00:00:00-05:00,-0.0031258519079242486,0.00867050003028802,0.01939982177186894,0.020678454693704967,-0.9489244272670582,-0.006454272935382109
NVDA,2025-12-10 00:00:00-05:00,-0.006433488855235314,0.007510526230377401,0.023387887879595004,0.019766186462149744,-0.6566390103438788,-0.015629207780489252
NVDA,2025-12-11 00:00:00-05:00,-0.015507705530775517,-0.024899004580926087,-0.013360301787519901,0.01993236859892403,-0.38672728760705305,-0.03320989813109434
NVDA,2025-12-12 00:00:00-05:00,-0.032664503634346365,-0.05379249003934439,-0.040513125603228506,0.01967253607684328,-0.04172645514277815,0.0072300506944736895
NVDA,2025-12-15 00:00:00-05:00,0.007256250615185866,-0.04075528100399484,-0.0499057376088643,0.019224632533651725,-0.6307145141023743,0.008078956722964145
NVDA,2025-12-16 00:00:00-05:00,0.00811167955658898,-0.017741621538836294,-0.03919554496488009,0.01904722585885819,-0.8483407003823129,-0.038896652916282415
NVDA,2025-12-17 00:00:00-05:00,-0.038149891586355955,-0.023311631421875534,-0.06986612484044197,0.019880462512212035,0.26736446063857033,0.018546937875409245
NVDA,2025-12-18 00:00:00-05:00,0.018720000599854014,-0.012195779558484388,-0.03752829028352522,0.019183131327196006,-0.38723360337952256,0.038582241575907276
NVDA,2025-12-19 00:00:00-05:00,0.039336201490321354,0.01839975382624548,0.03411039352627032,0.020202650341175576,1.9526934094607113,0.014807755977448005
NVDA,2025-12-22 00:00:00-05:00,0.014917933953784823,0.07458757352229695,0.04197634260081129,0.020310103281885365,-1.094286837752324,0.029607977378472258
NVDA,2025-12-23 00:00:00-05:00,0.030050651636426062,0.08653960822923135,0.06465229245016202,0.020883078280672974,-0.20203914576486875,-0.0031761505282189998
NVDA,2025-12-24 00:00:00-05:00,-0.003171111898024326,0.042101745322480344,0.10336959118157352,0.019878138754822,-2.164819932409317,0.010128261776981125
NVDA,2025-12-26 00:00:00-05:00,0.01017972622200336,0.03723662827035157,0.09411967065059446,0.019794511687075998,-0.6178361724980422,-0.012198158159957593
NVDA,2025-12-29 00:00:00-05:00,-0.012124062212741427,-0.005232310438322618,0.039946933577015065,0.019503644995274343,-1.0094130738102312,-0.00361937772433004
NVDA,2025-12-30 00:00:00-05:00,-0.003612835671873982,-0.005673120835354317,0.020959174661422608,0.01930272222819029,-1.303162910114739,-0.005560881107953781
